name,founded_year,country_code,state_code,zip_code,city,address1,address2,raised_amount
Absolute Intuistic,2004,GBR,,TW10 6UD,Richmond,Ai House Holbrooke Place,Hill Rise,0
Absolute Media,2009,GBR,,EC2M 3TY,London,Broadgate Court 199 Bishopsgate,,0
Absolute Radio,1993,GBR,,W1F 9DJ,London,No.1 Golden Square,,0
Absolute Software,1993,CAN,,V7X 1K8,Vancouver,1055 Dunsmuir St. ,Suite 1600,0
"Absolute Web Services, Inc.",1999,USA,FL,33180,Miami,18851 NE 29th Avenue,Suite 727,0
Absolutebyte,,PAK,,54660,Lahore,57-C/1 Gulburg 3,,0
AbsolutMind,2008,GBR,,W1H1PJ,London,"19-21,Crawford street",,0
"Absorbent, Ink.",2000,USA,TX,78744,Austin,"4115 Freidrich Lane, Suite 200",,0
Abstract Mechanical,1995,USA,NY,11738,Farmingville,23 Oakcrest Ave,,0
ABT Molecular Imaging,,USA,TN,37934,Knoxville ,11130 Kingston Pike,Suite 1-409,9000000.0
Abture,2006,IND,,600095,chennai,"No.42,VGP Amutha Nagar",Maduravoial,0
Abu Dhabi Media Company,,ARE,,,Abu Dhabi,4th Street,"Sector 18, Zone1",0
Abundant Closet,2008,USA,GA,30357,Atlanta,PO Box 78860,,60000.0
Abunga.com,2007,USA,TN,37922,Knoxville,8907 Linksvue Dr,,0
AC Ticket Guys,2008,USA,NJ,08401,Atlantic City,31 N. Mississippi Ave,,0
Acacia Research,1992,USA,CA,92660,Newport Beach,500 Newport Center Drive,7th Floor,0
Academia RFID,2005,CAN,,H8T1A1,Montreal,9942 C?te-de-Liesse,,0
Academic Capital Exchange,2008,USA,IL,60661,Chicago,226 N. Clinton,,0
Academic Earth,2008,USA,CA,94133,San Francisco,275 5th St,,0
ACADIA,2009,USA,TX,75254,Dallas,,,0
AcadiaSoft,,USA,MA,02359,Pembroke,33 Riverside Drive,,4000000.0
Acadium,2006,USA,CO,80214,Denver,6699 West 13th Avenue,,0
ACAL Energy,,GBR,,WA7 4QX,Runcorn ,The Heath Business and Technical Park ,Cheshire ,0
Acambis,1992,GBR,,CB1 9PT,Cambridge,Peterhouse,"Technologypark, 100 Fulbourn Road",0
Acanthus Infotech,,IND,,600044,Chennai,,,0
"ACBA Services, Inc.",1977,USA,PA,15219,Pittsburgh,400 Koppers building,436 Seventh Ave.,0
Accedian Networks,,CAN,,H4R 2P1,"Saint-Laurent, QC","4878, Levy, Suite 202 ",,31040000.0
Accedo Broadband,2004,SWE,,164 40,Kista,Farogatan 7,,1270000.0
Accelerate Mobile Apps,2009,USA,CA,95066,Scotts Valley,5321 Scotts Valley Drive,Suite 208,250000.0
Accelerated IO,2004,USA,OK,74133,Tulsa,7633 East 63rd Pl,Suite 300,3000000.0
Acceleratio,,HRV,,21000,Split,,,0
Accelerator for a Clean and Renewable Economy,,USA,NY,10013,New York,160 Varick Street,12th Floor,0
AccelerEyes,2007,USA,GA,30308 ,Atlanta,75 5th St NW,Suite 204 ,0
Accelerize New Media,2005,USA,CA,90025,Los Angeles,12121 Wilshire Blvd,Suite 322,745500.0
Acceleron Pharma,2004,USA,MA,02139,Cambridge,128 Sidney Street,,80351121.0
AccelGolf,2008,USA,MA,02138,Cambridge,,,562000.0
Accell Telesystems,1982,CAN,,,,,,0
Accellion,1999,USA,CA,94303,Palo Alto,1900 Embarcadero Road #206,,0
Accellos,2006,USA,CO,80903,Colorado Springs,90 South Cascade Avenue,Suite 1200,51400000.0
AccelOps,2007,USA,CA,95054,Santa Clara,"2905 Stender Way, Suite 48",,0
Accelrys,,USA,CA,92121,San Diego,10188 Telesis Court,Suite 100,0
Accent ,,ITA,,,,"Via Trieste, 26/28",20059 Vimercate,0
Accentia,,IND,,400614,Navi Mumbai,D-207 Second Floor,International Infotech Centre CBD Belapur,0
Accentium Web,2007,IND,,122016,Gurgaon,,,0
Accenx Technologies,1997,USA,CA,92618,Irvine,6 Jenner,Suite 260,0
Accept Software,2002,USA,CA,94538,Fremont,42840 Christy Street,Suite,22305000.0
AcceptEmail,2006,NLD,,1096 AT,Amsterdam,Joop Geesinkweg 125,,0
Acceptys,2002,USA,NJ,07871,Sparta,1 Main Street,,0
Accera,2001,USA,CO,Broomfield,Broomfield,Interlocken Advanced Technology Park,"380 Interlocken Crescent, Suite 780",50550000.0
Accertify,2007,USA,IL,60143,Itasca,1075 w. Hawthorn Drive, ,4700000.0
Access,1979,JPN,,101-0064,"Chiyoda-ku, Tokyo","Hirata Bldg, 2-8-16 Sarugaku-cho",,0
Access Closure,2002,USA,CA,94043,Mountain View,645 Clyde Avenue,,9999998.0
Access Communications,1991,USA,CA,94105,San Francisco,101 Howard Street,Suite 200,0
Access Forensics,,USA,MO,63101,St. Louis,911 Washington Ave.,Suite 620,0
Access Innovations,1978,USA,NM,87110,Albuquerque,"4725 Indian School Rd. NE, Suite 100",,0
Access Intelligence,,USA,MD,20850,Rockville,4 Choke Cherry Road ,Second Floor ,7380000.0
ACCESS Litigation Support Services,2002,USA,DC,20005,Washington,1101 Vermont Avenue,Suite C1,0
Access New Media,2010,USA,CA,94107,San Francisco,350 Townsend #308A,,0
Access Northeast,1999,USA,MA,01752,Marlborough,34 Staint Martin Drive,Suite 3,1999998.0
Access Point,2008,ROM,,700187,Iasi,Socola 134a,,4500000.0
Access360 Media,,USA,CA,90291,Los Angeles,1255 Electric Ave,,8000000.0
AccessFlow,,USA,CA,95834,Sacramento,1100 N. Market Blvd,Suite 204,0
Accesstream,2008,USA,GA,,Atlanta,,,0
Accipiter Systems,,USA,PA,15090,Wexford,12330 Perry Highway,,0
Acclarent,2004,USA,CA,94025,Menlo Park,,,0
Acco Brands,1947,USA,IL,60069,Lincolnshire,300 Tower Parkway,,10000000.0
Accolo,,USA,CA,94939,Larkspur,900 Larkspur Landing Circle,Suite 160,0
Accomplice,,USA,CA,,Palo Alto,,,0
Accoona,2004,USA,,07302,Jersey City,101 Hudson Street,Suite 3501,0
Accord Technologies,,AUS,,6021,Balcatta,"Unit 3, 75 Erindale Rd",,0
Accordent Technologies,,USA,CA,90245,El Segundo,300 N. Continental Blvd.,Suite 200,4000000.0
Accorto,,USA,CA,94065,Redwood City,303 Twin Dolphin Drive,Suite 600,0
Accountancy Age,,GBR,,W1A 2HG,London,32-34 Broadwick Street,,0
AccountMaven,2007,USA,,,,,,0
AccountNow,,USA,CA,94583,San Ramon,,,34072000.0
Accountz.com,1985,GBR,,PE16 6TT,Chatteris,South Fens Business Centre,Fenton Way,0
Accretive Health,2003,USA,IL,60611,Chicago,401 North Michigan Avenue,Suite 2700,0
Accruent Holdings,,USA,CA,90404,Santa Monica,1601 Cloverfield Blvd.,Suite 500 South,32000000.0
Accton Technology,,TWN,,,,"1, Creation 3rd Rd.","Science-based Industrial Park, Hsinchu 300",0
Accu-Time Systems,1991,USA,CT,06029,Ellington,420 Somers Road,,0
AccuConference,2002,USA,TX,76116,Ft Worth,6300 Ridglea Place,Suite 318,0
Accudata Technologies,1989,USA,TX,75013,Allen,800 N. Watters Road,Suite 130,0
AccuDraft,1992,USA,FL,32746,Lake Mary,801 International Pkwy,Suite 500,650000.0
Accuity,,USA,IL,60076,Skokie,4709 West Golf Road,Suite 600,0
Accumetrics,1996,USA,CA,92121 ,San Diego,3985 Sorrento Valley Blvd.,,68494000.0
Accumulate,2004,GBR,,SW10 0XD,LONDON,306 Harbour Yard,Chelsea Harbour,2050000.0
AccuNOC,2008,USA,NJ,08816,East Brunswick,,,0
AccuProcess,2009,USA,IL,60610,Chicago,,,0
Accurate Append,,USA,CA,95825,Sacramento,2225 Hurley Way #102,,0
Accurate Background,1997,USA,CA,92630,Lake Forest,6 Orchard,Suite 200,0
Accuray,,USA,CA,94089,Sunnyvale,1310 Chesapeake Terrace,,0
AccuRev,,USA,MA,02421 ,Lexington,10 Maguire Road,Bldg. 1 ,2100000.0
Accuri Cytometers,,USA,MI,48103,Ann Arbor,173 Parkland Plaza,,26655000.0
Accuvia,,USA,RI,02818,East Greenwich,"5 Division Street, 3rd Floor",,0
"Accuweaver, LLC",2004,USA,CA,94551,Livermore,628 Saddleback Circle,,0
Ace & Partners,1980,KOR,,405-849,," 451-3, Nonhyeon-dong","Namdong-gu, Incheon",0
Ace Marketing & Promotions,1998,USA,NY,11581,Valley Stream,47 Rockaway Avenue,,0
Ace Metrix,2007,USA,CA,90025,Los Angeles,1950 Sawtelle Blvd.,Suite 360,10700000.0
Ace Ventures,2009,DEU,,14469,Potsdam,Johann-Goercke-Allee 12,,0
ACE*COMM,1983,USA,MD,20878,Gaithersburg,704 Quince Orchard Road,Suite 100,2300000.0
ACEBLUE,2009,FRA,,92500,RUEIL-MALMAISON,16 place des Arts,,0
Acendi Interactive,,USA,CA,94127,San Francisco,58 West Portal Avenue Box 124,,2090000.0
Acer,1976,TWN,,221,Taipei,,,0
Aceris 3D Inspection,2000,CAN,,H9X 3T1,Montreal,19501 Clark Graham,Suite 300,4880000.0
acerno,2004,USA,NY,10168,New York,"122 E. 42nd st,",suite 805,0
Acetylon Pharmaceuticals,2008,USA,MA,,Boston,,,9250000.0
Achaogen,,USA,CA,94080,South San Francisco ,7000 Shoreline Court, Suite 371 ,82000000.0
Achates Power,2004,USA,CA,92121,San Diego,4060 Sorrento Valley Boulevard,,31300000.0
Acheive CCA,,USA,IN,47708,Evansville,"101 NW 1st Street, Suite 201",,5000000.0
Acheive Internet,1998,USA,CA,92109,San Diego,1767 Grand Ave,Suite 2,0
AcheteurDurable.com,,FRA,,92100,Boulogne-Billancourt,16 rue de solferino,,0
Achieve X,2008,USA,PA,19428,Conshohocken,PO BOX 921,,150000.0
Achieve3000,,USA,NJ,08701,Lakewood,1091 River Avenue,,9000000.0
Achievers Point Knowledge Systems,2004,IND,,110003,New Delhi,"1497, Wazir Nagar",Defence Colony ICICI Bank,0
Achievo(R) Corporation,,USA,CA,94583-2539,San Ramon,2633 Camino Ramon Ste 100,,24000000.0
Achill Online Internet Solutions,1998,IRL,,,Achill Island,Bridgann House,Achill Sound,0
Achilles Group,1990,GBR,,OX14 4SH,Abingdon,30 Park Gate,Milton Park,2500000.0
Achillion Pharmaceuticals,1998,USA,CT,06511,New Haven,300 George Street,,0
Achronix,2004,USA,CA,95110,San Jose,333 West San Carlos Street ,Suite 1050,0
Achronix Semiconductor,2004,USA,CA,95110 ,San Jose,333 West San Carlos Street,Suite 1050,77400000.0
achtQuark,2004,DEU,,80798,Munich,Hessstr. 36,,0
Acidophil,,USA,MD,21093,Baltimore,"2330 West Joppa Road, Suite 330 ",,0
Acknowledgement,2003,GBR,,N1 7TE,London,11-29 Fashion Street,,0
ACM Tech,2007,ITA,,12100,Cuneo,Via Caraglio 5,,0
Acme Mobile,2003,SGP,,078989,Singapore,50 B Tras Street,,0
Acognita,2008,USA,PA,19355,Malvern,40 Lloyd Ave,Suite 105,0
Acologix,1992,USA,CA,94545,Hayward,3960 Point Eden Way,,0
ACOM Solutions,1983,USA,CA,90806-2313,Long Beach,2850 East 29th Street,,0
acomo,2007,DEU,,12587,Berlin,Alt-Moabit 91 c/d,,0
aCon,2003,DNK,,DK - 6400,Soenderborg,Augustenborg Landevej 7,,1600000.0
Aconex,,USA,NY,10174, New York City,"405 Lexington Ave, Chrysler Building, ",25th Floor,85000000.0
Aconite Technology,2000,GBR,,EC1R 5DX,London,8?14 Vine Hill,,592000.0
aCoolWorld,,USA,TX,77284 ,Houston,P.O. Box 842617,,0
Acopia Networks,2002,USA,MA,01851,Lowell,41 Wellman Street,,20000000.0
Acotis Jewellery,2000,GBR,,WV6 8QJ,Wolverhampton,Limes Court,Tettenhall,0
Acquia,2007,USA,MA,01801,Woburn,150 Presidential Way,Suite 310,15000000.0
Acquirelists,2002,USA,NY,12203 ,Albany,"1971 Western Avenue, Suite 2889 ",,0
Acquity Group,2001,USA,IL,60606,Chicago,500 West Madison Street,,0
Acrelic Interactive,2001,USA,NJ,07059,Warren,16 Mt. Bethel Rd.,Suite 204,0
Acresso Software,,USA,IL,60173,Schaumburg,1000 E Woodfield Road,Suite 400,0
Acrisure,,USA,MI,,Grand Rapids,,,20000000.0
Acro Energy Technologies,2007,USA,TX,77042,Houston,10700 Richmond Ave,Suite 275,0
Acronis,2002,USA,MA,01803 ,Burlington,23 3rd Avenue,,11000000.0
Across Systems,2005,USA,CA,91203,Glendale,"431 N. Brand Blvd., Suite 308",,0
acrossair,2009,GBR,,WC1V 7BD,London,,,0
ACS Connect,1986,USA,FL,33511,Brandon,635 W. Lumsden Road,,0
ACS Technologies,2002,LKA,,,mt. lavinia,"140 1/1, galle road",,0
Acsis,1996,USA,NJ,08053,Marlton,9 East Stow Road,,6000000.0
Acsys Interactive,1994,USA,CT,06032,Farmington,"6 Executive Drive, Suite 106",,0
ACT Biotech,,USA,CA,94103-2103,San Francisco,717 Market Street,Suite 650,24980000.0
ACT Conferencing,1989,USA,CO,80401,Lakewood,1526 Cole Boulevard,,0
ACT Support,2001,IND,,641 046 ,Tamilnadu,"#152/1, Kalpana Nagar ",Maruthamalai Main Road ,0
Act-On Software,,USA,OR,97005,Beaverton,4905 SW Griffith Drive,Suite 200,0
Actacell,,USA,TX,78758 ,Austin,"ActaCell, Inc. 2105 Donley Drive Suite 200",,6800000.0
ActekSoft,1999,USA,AL,35244,Birmingham,2120 Data Drive,,0
Actelion Pharmaceuticals,1997,CHE,,CH-4123,Allschwil,Gewerbestrasse 16,,0
Actelis Networks,1998,USA,CA,94538,Fremont,6150 Stevenson Blvd.,,51700000.0
Acteva,,USA,CA,94111,San Francisco,100 Pine Street,10th Floor,0
Actimagine,2003,FRA,,75001 ,Paris ,128 rue de Rivoli,,0
Actimedia Digital Corp,1997,USA,FL,33325,Sunrise,"440 Sawgrass Corporate Parkway, Suite 212",,0
Actimis Pharmaceuticals,,USA,CA,92121,San Diego,10835 Road To The Cure ,Suite 200,9600000.0
Actimize,,USA,NY,10018,New York,"1359 Broadway,",5th floor ,0
Actimos,2008,FRA,,75014,Paris,9 rue Dareau,,0
Actinic Software,1996,GBR,,KT14 6ND,"West Byfleet, Surrey",Globe House,"Columbus Suite, Lavender Park Road",0
Actinobac Biomed,,USA,NJ,08902,North Brunswick,675 US Highway 1,,500000.0
Actio Corporation (software),1996,USA,NH,03801,Portsmouth,30 International Drive,Suites 201-203,0
Action Engine,2000,USA,WA,98005,Bellevue, 2331 130th Ave NE,2nd Floor,58200000.0
Action Pharma,2000,DNK,,DK-8200,?rhus ,Brendstrupgaardsvej 102 ,,6300000.0
Action Sports Branding,2009,USA,MA,02150,Boston,60 Dudley Street,,0
Action Verb,2007,USA,CA,92101,San Diego,,,0
Action Websites,2000,AUS,,3004,Melbourne,,,0
Actionality,2005,DEU,,80799,Munich,Schellingstrasse 45,,1000000.0
ActionBase,2007,ISR,,69513,Tel Aviv ,13 Kehilat Saloniki St.,,400000.0
Actionize,2007,CHE,,,Basel,,,0
ActionThis,2007,NZL,,,Wellington,"Level 7, Plunket House,",126-132 Lambton Quay,0
Actiontop Electronics,,CHN,,,Shenzhen,"2Fl, H1 Buld., Hongmen Technology Park Jihua Road","Buji Town, Longgang District",0
ACTIV Financial Systems,2002,USA,IL,60606,Chicago,125 South Wacker Drive,Suite 2325,25000000.0
Activ8,2004,AUT,,4052,Ansfelden,Haiderstr. 40,,0
activ8 Intelligence,2005,GBR,,NG22 8LS,Farnsfield,Hexgreave Hall,,1780000.0
Activa Live,2007,USA,MI,48081,St. Clair Shores,25701 Jefferson,,0
Activaero,2004,DEU,,35285,Gemunden,Wohraer Str. 37,Gem?nden (Wohra),15830000.0
Activant Solutions,1972,USA,CA,94551,Livermore,7683 Southfront Road,,0
Active Data Services,,USA,NC,27560,Morrisville,400-A Perimeter Park Drive,,0
Active DSP,2006,NOR,,7037,Trondheim,Prof. Brochs gt 8A,,1120000.0
Active Endpoints,,USA,MA,,Waltham,,,22500000.0
Active Implants,2004,USA,TN,38120,Memphis,5865 Ridgeway Center Parkway,Suite 218,26865000.0
Active Interactive,1998,USA,MA,01532,northborough,49 riley road,,0
Active Networks,2006,USA,PA,17112 , Harrisburg,6385 Flank Drive,,0
Active Online,2000,IRL,,D7,Dublin,North King Street,Smithfield,0
Active Optical MEMS,,USA,CA,94539,Fremont,47122 Mission Falls Ct.,,2000000.0
Active Storage,2008,USA,CA,90501,Torrance,2295 Jefferson St.,,8000000.0
Active Worlds,2004,USA,MA,01950,Newburyport,95 Parker Street,,0
ActiveBox,2008,IDN,,40619,Bandung,Jl.Kosar 128 A Ujungberung,,0
ActiveCampaign,2003,USA,IL,60601,Chicago,150 N. Michigan Avenue,Suite 1230,0
ActiveHire,1999,USA,TX,78746,Austin,1705 S. Loop 360,,0
ActivEngage,2007,USA,FL,32751,Orlando,2701 Maitland Center Parkway,Suite 200,0
ActiveRideShop.com,,USA,CA,91752,Mira Loma,12087 Landon Dr.,,0
ActiveSec,2006,LTU,,09133,Vilnius,Kareiviu strt. 19-139,,490000.0
ActiveTrak,,USA,OR,97209,Portland,117 NW Fifth Ave ,Suite 201,500000.0
ActiveVideo Networks,,USA,CA,95110,San Jose,333 W. San Carlos St.,Suite 300,0
Activeweb,2002,POL,,,Warsaw,Bronikowskiego 3/2,,0
ActiveWIT,2008,USA,GA,30224,Griffin Ga,PO 1342,,0
ActivIdentity,1985,USA,CA,94555,Fremont,6623 Dumbarton Circle ,,5422959.0
ActiVideo,1999,USA,CA,92677,Laguna Niguel,30012 Ivy Glenn Dr.,Suite 270,0
ActiViews Ltd.,2006,ISR,,31905,Haifa,7 Nahum Haat St.,,10000000.0
Activision Blizzard,1991,USA,CA,90405,Santa Monica,3100 Ocean Park Blvd,,0
Activity Engine,,CAN,,AB T2R 1K4,Calgary,"410, 1010 - 1 Street S.W.",,0
ActivNetworks,1989,FRA,,91944,Courtaboeuf,B?timent L - 1 rue de Terre Neuve,BP 127 Cedex,3470000.0
Acton Pharmaceuticals,,USA,MA,01752,Marlborough,225 Cedar Hill Street,Suite #337,15500000.0
Actslike,2009,USA,KS,66062,Olathe,13505 S Murlen,Suite 105262,0
Actuate,,USA,CA,94404,San Mateo,2207 Bridgepointe Parkway ,Suite 500,0
Actus Digital,2005,ISR,,69419,Tel-Aviv,24 Raoul Wallenberg St.,"Ziv Towers, Bld. A 2nd Floor",2000000.0
Acucar Guarani,1976,BRA,,15400-000,"Olimpia, SP",Rod. Assis Chateaubriand km.155,,45400000.0
Acuity Solutions,,USA,NV,89117,Las Vegas,7881 West Charleston Blvd.,Suite 165,0
Acumatica,,USA,MD,20814,Bethesda,3 Bethesda Metro Center,Suite 700,0
Acumen Management Group,1995,USA,TN,37885,Vonore,165 Golanvyi Trail,,0
Acumen Pharmaceuticals,,USA,CA,94551,Livermore,"4435 North First Street, # 360",,1500000.0
Acumen Solutions,,USA,VA,22182,Vienna,8614 Westwood Center Drive,Suite 700,0
Acumentrics,1994,USA,MA,02090,Westwood,20 Southwest Park,,15600000.0
acupuncture.com,,USA,VA,20172-0447,Herndon,c/o Network Solutions,P.O. Box 447,0
Acxiom,1969,USA,AR,72201,Little Rock,601 East Third Street,,0
Ad Avengers,2009,GBR,,EC1V 4PY,London,2ND Floor,145-157 St John Street,0
Ad Chap,2007,CHN,,,Beijing,,,0
Ad Giants,2001,USA,TX,75225 ,Dallas,8117 Preston Rd. ,Suite 260 ,0
Ad Infuse,2005,USA,CA,94108,San Francisco,"550 Kearny Street, Suite 630",,17600000.0
Ad Knights,2010,USA,TX,,Houston,,,50000.0
Ad Magnet,2008,IND,,400098,Mumbai,"1st Floor, Kagalwala House, C Block, Metro Estate","175 CST Road, Kalina, Santacruz(E)",0
Ad Retweets,2010,GBR,,WC2E 9DS,London ,25 Floral Street ,,0
Ad Server Beans,2008,BLR,,220125,Minsk,Gorodetskaya,58-221,0
Ad Summos,2010,USA,NY,,New York,55 Liberty Street,Suite 6C,3049999.0
Ad-Juster,2008,USA,NY,10025,New York,50 W 97th St,Suite 9h,0
Ad-Venture Media,2008,USA,CA,,,,,0
AD-Village,2008,USA,CA,95035,Milpitas,1619 S. Main St. Suite 103,,0
Ad.ly,,USA,CA,,Los Angeles,,,5500000.0
ad2action,2008,USA,UT,84770,St. George,912 W. 1600 S,,0
adaffix,2009,AUT,,1141,Vienna,Matznergasse 17,,0
Adamans,,IRL,,,Dublin,,,0
